pid,condition,notif_type,1st_response,1st_latecomplete,1st_miss,2nd_response,2nd_latecomplete,2nd_miss,3rd_response,3rd_latecomplete,3rd_miss
1,setup,visual,13,0,FALSE,6,0,FALSE,6,0,FALSE
2,nosetup,vibrate,9,0,FALSE,7,0,FALSE,8,0,FALSE
3,nosetup,visual,5,0,FALSE,5,0,FALSE,19,0,FALSE
4,setup,vibrate,30,390,TRUE,30,330,TRUE,30,330,TRUE
5,setup,vibrate,7,0,FALSE,30,5,FALSE,8,0,FALSE
6,nosetup,visual,18,0,FALSE,14,0,FALSE,5,0,FALSE
7,nosetup,vibrate,9,0,FALSE,7,0,FALSE,8,0,FALSE
8,setup,visual,7,0,FALSE,6,0,FALSE,6,0,FALSE
9,setup,visual,16,0,FALSE,30,6,FALSE,19,0,FALSE
10,setup,vibrate,16,0,FALSE,7,0,FALSE,8,0,FALSE
11,nosetup,visual,12,0,FALSE,10,0,FALSE,15,0,FALSE
12,nosetup,vibrate,13,0,FALSE,12,0,FALSE,11,0,FALSE
13,setup,vibrate,30,390,TRUE,30,330,TRUE,30,330,TRUE
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
